variance,mean,max,total,spread,jain,gini,ede,maxmin,feasible,objective,method,runtime_s,routing_calls,evaluated,opt_gap,ede_gap,kind,seed
77.04,23.4,39.0,117.0,24.0,0.8766570605187319,0.19487179487179485,24.154343158535955,2.6,True,77.04,ours,0.2697384999996757,485,109.0,0.0,0.2531641762395343,river,0
199.43999999999997,17.4,44.0,87.0,41.0,0.6028673835125448,0.4137931034482758,19.27468372980286,14.666666666666666,True,199.43999999999997,ours_ede,0.014996699999755947,485,109.0,1.5887850467289713,0.0,river,0
228.95999999999998,20.2,49.0,101.0,39.0,0.6405651491365777,0.35643564356435653,22.183336014640357,4.9,True,228.95999999999998,centroid,1.0600000223348616e-05,5,,1.9719626168224291,0.15090531837573487,river,0
231.76,21.2,49.0,106.0,41.0,0.659776864357017,0.36603773584905674,23.13657889737312,6.125,True,231.76,weighted_centroid,2.6499999876250513e-05,5,,2.0083073727933534,0.20036101352983185,river,0
294.4,21.0,55.0,105.0,45.0,0.5996736469948327,0.36571428571428566,23.34444209285761,5.5,True,294.4,geometric_median,7.940000023154425e-05,5,,2.821391484942886,0.21114527325613214,river,0
199.43999999999997,17.4,44.0,87.0,41.0,0.6028673835125448,0.4137931034482758,19.27468372980286,14.666666666666666,True,199.43999999999997,min_sum,0.006936400000085996,490,,1.5887850467289713,0.0,river,0
109.35999999999999,19.8,38.0,99.0,27.0,0.7818907060231353,0.27474747474747474,20.935183676767497,3.4545454545454546,True,109.35999999999999,min_max,0.0068111999999018735,490,,0.41952232606438183,0.08614927073470696,river,0
77.04,23.4,39.0,117.0,24.0,0.8766570605187319,0.19487179487179485,24.154343158535955,2.6,True,77.04,min_range,0.0068215999999665655,490,,0.0,0.2531641762395343,river,0
77.04,23.4,39.0,117.0,24.0,0.8766570605187319,0.19487179487179485,24.154343158535955,2.6,True,77.04,random,0.00721239999984391,490,,0.0,0.2531641762395343,river,0
77.04,23.4,39.0,117.0,24.0,0.8766570605187319,0.19487179487179485,24.154343158535955,2.6,True,77.04,exhaustive,0.008729700000003504,490,,0.0,0.2531641762395343,river,0
199.43999999999997,17.4,44.0,87.0,41.0,0.6028673835125448,0.4137931034482758,19.27468372980286,14.666666666666666,True,199.43999999999997,exhaustive_ede,0.00745020000022123,490,,1.5887850467289713,0.0,river,0
121.04,27.4,47.0,137.0,32.0,0.8611608167010782,0.21605839416058403,28.39216970459205,3.1333333333333333,True,121.04,ours,0.2792482999998356,495,111.0,0.0,0.09875372192564323,river,1
143.84,24.6,46.0,123.0,35.0,0.8079572763684914,0.26016260162601634,25.840339957923213,4.181818181818182,True,143.84,ours_ede,0.017243299999790906,470,106.0,0.18836748182419033,0.0,river,1
407.76000000000005,27.8,61.0,139.0,54.0,0.6546162967982382,0.3971223021582735,30.282697696189427,8.714285714285714,True,407.76000000000005,centroid,9.59999988481286e-06,5,,2.3688037012557834,0.17191560736042444,river,1
511.2,30.0,67.0,150.0,64.0,0.6377551020408163,0.41866666666666674,32.80515248015018,22.333333333333332,True,511.2,weighted_centroid,2.2700000045006163e-05,5,,3.223397224058162,0.2695325422795531,river,1
494.64,28.6,63.0,143.0,63.0,0.6231601401797958,0.4363636363636365,31.342119722299145,inf,True,494.64,geometric_median,0.0005086000001028879,5,,3.0865829477858555,0.21291437238576139,river,1
143.84,24.6,46.0,123.0,35.0,0.8079572763684914,0.26016260162601634,25.840339957923213,4.181818181818182,True,143.84,min_sum,0.0068851000000904605,505,,0.18836748182419033,0.0,river,1
143.84,24.6,46.0,123.0,35.0,0.8079572763684914,0.26016260162601634,25.840339957923213,4.181818181818182,True,143.84,min_max,0.007118699999864475,505,,0.18836748182419033,0.0,river,1
121.04,27.4,47.0,137.0,32.0,0.8611608167010782,0.21605839416058403,28.39216970459205,3.1333333333333333,True,121.04,min_range,0.007106000000021595,505,,0.0,0.09875372192564323,river,1
121.04,27.4,47.0,137.0,32.0,0.8611608167010782,0.21605839416058403,28.39216970459205,3.1333333333333333,True,121.04,random,0.007276799999999639,500,,0.0,0.09875372192564323,river,1
121.04,27.4,47.0,137.0,32.0,0.8611608167010782,0.21605839416058403,28.39216970459205,3.1333333333333333,True,121.04,exhaustive,0.007002199999988079,505,,0.0,0.09875372192564323,river,1
143.84,24.6,46.0,123.0,35.0,0.8079572763684914,0.26016260162601634,25.840339957923213,4.181818181818182,True,143.84,exhaustive_ede,0.00732979999975214,505,,0.18836748182419033,0.0,river,1
167.83999999999997,32.4,46.0,162.0,37.0,0.8621550591327201,0.2123456790123457,33.45874013705935,5.111111111111111,True,167.83999999999997,ours,0.015117299999928946,490,110.0,0.0,0.35798211112421324,river,2
270.23999999999995,22.6,50.0,113.0,45.0,0.6539820742637644,0.39646017699115044,24.638572086461686,10.0,True,270.23999999999995,ours_ede,0.015724100000170438,490,110.0,0.6101048617731172,0.0,river,2
360.64000000000004,29.6,62.0,148.0,50.0,0.7084087968952134,0.3405405405405406,31.865591034591077,5.166666666666667,True,360.64000000000004,centroid,1.0199999906035373e-05,5,,1.148713060057198,0.29332133870292215,river,2
332.96,31.8,62.0,159.0,46.0,0.7522987650647225,0.2968553459119496,33.8548726531299,3.875,True,332.96,weighted_centroid,2.3399999918183312e-05,5,,0.9837940896091517,0.3740598495045237,river,2
389.2,23.0,55.0,115.0,51.0,0.5761272054018732,0.4521739130434783,25.542720544588576,13.75,True,389.2,geometric_median,7.969999978740816e-05,5,,1.3188751191611061,0.036696463372717064,river,2
406.24,22.6,56.0,113.0,51.0,0.556990185387132,0.4601769911504425,25.226166273940745,11.2,True,406.24,min_sum,0.00744170000007216,540,,1.420400381315539,0.02384854874775508,river,2
172.16,25.8,40.0,129.0,36.0,0.7945094294581045,0.27596899224806215,27.066139211292484,10.0,True,172.16,min_max,0.007303999999749067,540,,0.025738798856053517,0.09852710280092444,river,2
171.6,30.0,42.0,150.0,35.0,0.8398656215005599,0.2293333333333334,31.137894193351958,6.0,True,171.6,min_range,0.007240100000217353,540,,0.022402287893231766,0.26378647610270795,river,2
167.83999999999997,32.4,46.0,162.0,37.0,0.8621550591327201,0.2123456790123457,33.45874013705935,5.111111111111111,True,167.83999999999997,random,0.007171199999902456,500,,0.0,0.35798211112421324,river,2
167.83999999999997,32.4,46.0,162.0,37.0,0.8621550591327201,0.2123456790123457,33.45874013705935,5.111111111111111,True,167.83999999999997,exhaustive,0.007573299999876326,540,,0.0,0.35798211112421324,river,2
270.23999999999995,22.6,50.0,113.0,45.0,0.6539820742637644,0.39646017699115044,24.638572086461686,10.0,True,270.23999999999995,exhaustive_ede,0.007736699999895791,540,,0.6101048617731172,0.0,river,2
59.84000000000001,44.6,57.0,223.0,22.0,0.9707955100048804,0.0968609865470853,44.92906648635893,1.6285714285714286,True,59.84000000000001,ours,0.013069800000266696,350,81.0,0.0,0.8009830150336213,river,3
191.04000000000002,23.4,43.0,117.0,34.0,0.7413484971567831,0.3145299145299145,24.946968467395667,4.777777777777778,True,191.04000000000002,ours_ede,0.012230900000304246,350,81.0,2.192513368983957,0.0,river,3
605.4399999999999,27.6,60.0,138.0,57.0,0.5571679344645992,0.46376811594202905,30.723032146208915,20.0,True,605.4399999999999,centroid,1.049999991664663e-05,5,,9.117647058823525,0.23153369061103554,river,3
626.9599999999999,30.2,63.0,151.0,59.0,0.5926185834957765,0.4370860927152318,33.33709936690628,15.75,True,626.9599999999999,weighted_centroid,2.7800000225397525e-05,5,,9.477272727272723,0.33631865573069764,river,3
662.24,29.4,63.0,147.0,61.0,0.5661993973535963,0.4625850340136055,32.649958385114296,31.5,True,662.24,geometric_median,0.00011099999983343878,5,,10.066844919786094,0.3087745882946065,river,3
191.04000000000002,23.4,43.0,117.0,34.0,0.7413484971567831,0.3145299145299145,24.946968467395667,4.777777777777778,True,191.04000000000002,min_sum,0.005180600000130653,350,,2.192513368983957,0.0,river,3
225.03999999999996,28.6,43.0,143.0,36.0,0.7842377756471717,0.2741258741258741,30.08678162212987,6.142857142857143,True,225.03999999999996,min_max,0.005077799999980925,350,,2.760695187165774,0.20602956874105402,river,3
59.84000000000001,44.6,57.0,223.0,22.0,0.9707955100048804,0.0968609865470853,44.92906648635893,1.6285714285714286,True,59.84000000000001,min_range,0.005752499999744032,350,,0.0,0.8009830150336213,river,3
59.84000000000001,44.6,57.0,223.0,22.0,0.9707955100048804,0.0968609865470853,44.92906648635893,1.6285714285714286,True,59.84000000000001,random,0.005172399999992194,350,,0.0,0.8009830150336213,river,3
59.84000000000001,44.6,57.0,223.0,22.0,0.9707955100048804,0.0968609865470853,44.92906648635893,1.6285714285714286,True,59.84000000000001,exhaustive,0.005766400000084104,350,,0.0,0.8009830150336213,river,3
191.04000000000002,23.4,43.0,117.0,34.0,0.7413484971567831,0.3145299145299145,24.946968467395667,4.777777777777778,True,191.04000000000002,exhaustive_ede,0.005787300000065443,350,,2.192513368983957,0.0,river,3
298.16,38.8,55.0,194.0,47.0,0.8346861831891772,0.23298969072164954,40.313485784220426,6.875,True,298.16,ours,0.01839139999992767,650,142.0,0.0,0.1182368333555353,mismatch,0
344.56,34.2,51.0,171.0,47.0,0.7724474970281336,0.28304093567251476,36.05093713757419,12.75,True,344.56,ours_ede,0.018229799999971874,710,154.0,0.1556211430104641,0.0,mismatch,0
342.96000000000004,34.8,60.0,174.0,56.0,0.7793050193050193,0.2919540229885058,36.661504517253974,15.0,True,342.96000000000004,centroid,1.0899999779212521e-05,5,,0.15025489669975856,0.016936241555935042,mismatch,0
350.56000000000006,35.2,57.0,176.0,53.0,0.7794665324609965,0.290909090909091,37.05710450495251,14.25,True,350.56000000000006,weighted_centroid,2.610000001368462e-05,5,,0.1757445666756105,0.027909603668239847,mismatch,0
612.1600000000001,35.2,76.0,176.0,74.0,0.6693171996542783,0.38636363636363646,38.189820438600854,38.0,True,612.1600000000001,geometric_median,0.00010130000009667128,5,,1.053125838475986,0.059329478533788504,mismatch,0
686.24,33.4,76.0,167.0,76.0,0.6191364191364191,0.43113772455089827,36.67552773493018,inf,True,686.24,min_sum,0.013557400000081543,1070,,1.301583042661658,0.01732522499963,mismatch,0
344.56,34.2,51.0,171.0,47.0,0.7724474970281336,0.28304093567251476,36.05093713757419,12.75,True,344.56,min_max,0.01333089999980075,1070,,0.1556211430104641,0.0,mismatch,0
316.8,37.0,52.0,185.0,46.0,0.8120773519990508,0.24864864864864877,38.6415645883537,8.666666666666666,True,316.8,min_range,0.013528699999824312,1070,,0.0625167695197209,0.07186019716750791,mismatch,0
298.16,38.8,55.0,194.0,47.0,0.8346861831891772,0.23298969072164954,40.313485784220426,6.875,True,298.16,random,0.007884300000114308,500,,0.0,0.1182368333555353,mismatch,0
298.16,38.8,55.0,194.0,47.0,0.8346861831891772,0.23298969072164954,40.313485784220426,6.875,True,298.16,exhaustive,0.013863099999980477,1070,,0.0,0.1182368333555353,mismatch,0
344.56,34.2,51.0,171.0,47.0,0.7724474970281336,0.28304093567251476,36.05093713757419,12.75,True,344.56,exhaustive_ede,0.014631699999881675,1070,,0.1556211430104641,0.0,mismatch,0
157.36000000000004,31.2,46.0,156.0,38.0,0.860841881853555,0.2025641025641025,32.22722486540331,5.75,True,157.36000000000004,ours,0.017767499999990832,660,144.0,0.0,0.030984139666985745,mismatch,1
161.76,30.2,42.0,151.0,36.0,0.8493574222387782,0.21192052980132448,31.25870091058132,7.0,True,161.76,ours_ede,0.019564100000025064,725,157.0,0.0279613624809351,0.0,mismatch,1
172.4,31.0,42.0,155.0,35.0,0.8478913005117346,0.21677419354838712,32.10772978754015,6.0,True,172.4,centroid,1.160000010713702e-05,5,,0.0955770208439245,0.027161361548183424,mismatch,1
161.76,31.8,44.0,159.0,36.0,0.8620971867007673,0.20377358490566033,32.828208071576555,5.5,True,161.76,weighted_centroid,2.3799999780749204e-05,5,,0.0279613624809351,0.0502102491554261,mismatch,1
389.04,32.6,57.0,163.0,55.0,0.7320292051246728,0.3312883435582823,34.73849027257111,28.5,True,389.04,geometric_median,0.0003790000000662985,5,,1.4722928317234363,0.11132226422153886,mismatch,1
325.76000000000005,29.8,50.0,149.0,48.0,0.7316197067062119,0.3355704697986577,31.746709913077652,25.0,True,325.76000000000005,min_sum,0.014005399999859947,1090,,1.0701576004067104,0.015611941260525487,mismatch,1
182.95999999999998,30.8,42.0,154.0,37.0,0.8383174266525274,0.21818181818181825,31.95399009181546,8.4,True,182.95999999999998,min_max,0.014700100000027305,1090,,0.16268429079816937,0.022243060683266487,mismatch,1
174.16,31.2,42.0,156.0,34.0,0.8482398048100384,0.21794871794871806,32.32159147835881,5.25,True,174.16,min_range,0.018693900000016583,1090,,0.10676156583629862,0.03400303073432246,mismatch,1
161.76,30.2,42.0,151.0,36.0,0.8493574222387782,0.21192052980132448,31.25870091058132,7.0,True,161.76,random,0.008516599999893515,500,,0.0279613624809351,0.0,mismatch,1
157.36000000000004,31.2,46.0,156.0,38.0,0.860841881853555,0.2025641025641025,32.22722486540331,5.75,True,157.36000000000004,exhaustive,0.014327399999729096,1090,,0.0,0.030984139666985745,mismatch,1
161.76,30.2,42.0,151.0,36.0,0.8493574222387782,0.21192052980132448,31.25870091058132,7.0,True,161.76,exhaustive_ede,0.014702800000122807,1090,,0.0279613624809351,0.0,mismatch,1
131.84,34.6,44.0,173.0,30.0,0.9007975921745673,0.16878612716763008,35.41758149084297,3.142857142857143,True,131.84,ours,0.02098130000013043,665,145.0,0.0,0.48011714085017904,mismatch,2
368.23999999999995,21.4,55.0,107.0,53.0,0.5542967804405713,0.47476635514018706,23.928904350434802,27.5,True,368.23999999999995,ours_ede,0.018185999999786873,670,146.0,1.7930825242718442,0.0,mismatch,2
260.64,26.6,48.0,133.0,39.0,0.730799421607106,0.324812030075188,28.420638143832864,5.333333333333333,True,260.64,centroid,9.899999895424116e-06,5,,0.9769417475728154,0.18771163642168365,mismatch,2
258.8,24.0,48.0,120.0,41.0,0.6899856252994729,0.3633333333333333,25.907856044626097,6.857142857142857,True,258.8,weighted_centroid,2.1600000309263123e-05,5,,0.9629854368932039,0.08270130822581254,mismatch,2
353.6,22.0,54.0,110.0,52.0,0.5778414517669532,0.45818181818181825,24.440017786804646,27.0,True,353.6,geometric_median,0.00022050000006856862,5,,1.6820388349514563,0.021359667324699554,mismatch,2
368.23999999999995,21.4,55.0,107.0,53.0,0.5542967804405713,0.47476635514018706,23.928904350434802,27.5,True,368.23999999999995,min_sum,0.01345579999997426,1060,,1.7930825242718442,0.0,mismatch,2
182.96,25.8,43.0,129.0,32.0,0.7843978317228376,0.28527131782945747,27.197853371479354,3.909090909090909,True,182.96,min_max,0.014132299999801035,1060,,0.38774271844660196,0.13661089422112022,mismatch,2
131.84,34.6,44.0,173.0,30.0,0.9007975921745673,0.16878612716763008,35.41758149084297,3.142857142857143,True,131.84,min_range,0.01363439999977345,1060,,0.0,0.48011714085017904,mismatch,2
135.2,32.0,45.0,160.0,32.0,0.883367839889579,0.19999999999999996,32.904209295715106,3.4615384615384617,True,135.2,random,0.008053099999870028,500,,0.02548543689320377,0.37508215227235076,mismatch,2
131.84,34.6,44.0,173.0,30.0,0.9007975921745673,0.16878612716763008,35.41758149084297,3.142857142857143,True,131.84,exhaustive,0.013880100000278617,1060,,0.0,0.48011714085017904,mismatch,2
368.23999999999995,21.4,55.0,107.0,53.0,0.5542967804405713,0.47476635514018706,23.928904350434802,27.5,True,368.23999999999995,exhaustive_ede,0.014219000000139204,1060,,1.7930825242718442,0.0,mismatch,2
391.5,35.0,67.0,140.0,53.0,0.7578100835137643,0.30000000000000004,37.21964597509115,4.785714285714286,False,inf,centroid,1.0799999927257886e-05,5,,,,mismatch,3
267.6875,34.75,60.0,139.0,44.0,0.8185477037790205,0.2571942446043165,36.371388586344615,3.75,False,inf,weighted_centroid,2.499999982319423e-05,5,,,,mismatch,3
822.6875,39.75,81.0,159.0,70.0,0.6576058682759338,0.3883647798742138,43.22101469285261,7.363636363636363,False,inf,geometric_median,0.000115299999833951,5,,,,mismatch,3
161.75999999999996,47.2,68.0,236.0,33.0,0.9323066622028792,0.14576271186440692,48.016181675566635,1.9428571428571428,True,161.75999999999996,ours,0.06515269999999873,1435,299.0,0.0,0.26213003850311833,linear,0
242.64000000000001,36.6,61.0,183.0,39.0,0.8466439135381115,0.22513661202185786,38.04376744928253,2.772727272727273,True,242.64000000000001,ours_ede,0.03168180000011489,1455,303.0,0.5000000000000004,0.0,linear,0
409.0,27.0,56.0,108.0,54.0,0.640597539543058,0.41666666666666674,29.455350530543132,28.0,False,inf,centroid,1.0800000382005237e-05,5,,1.5284371909000996,-0.22575095724125935,linear,0
930.24,41.6,96.0,208.0,82.0,0.6503908598917619,0.38076923076923075,45.47555456196806,6.857142857142857,True,930.24,weighted_centroid,2.280000035170815e-05,5,,4.750741839762613,0.19534834773115223,linear,0
498.6875,27.75,59.0,111.0,59.0,0.6069458128078817,0.44819819819819817,30.4963564963024,inf,False,inf,geometric_median,4.5199999931355705e-05,5,,2.0828851384767564,-0.198387579858957,linear,0
428.23999999999995,36.4,65.0,182.0,58.0,0.7557380789413644,0.31648351648351647,38.61862541380521,9.285714285714286,True,428.23999999999995,min_sum,0.06747409999979936,5630,,1.647378832838774,0.01511043734795847,linear,0
194.23999999999998,39.4,56.0,197.0,34.0,0.8887896484598649,0.19289340101522856,40.48029103085869,2.5454545454545454,True,194.23999999999998,min_max,0.06704979999994976,5630,,0.20079129574678553,0.06404527587401472,linear,0
161.75999999999996,47.2,68.0,236.0,33.0,0.9323066622028792,0.14576271186440692,48.016181675566635,1.9428571428571428,True,161.75999999999996,min_range,0.06561860000010711,5630,,0.0,0.26213003850311833,linear,0
227.6,50.0,69.0,250.0,42.0,0.9165566798650828,0.16959999999999997,51.02816671025817,2.5555555555555554,True,227.6,random,0.015595500000017637,500,,0.40702274975272035,0.34130161473323056,linear,0
161.75999999999996,47.2,68.0,236.0,33.0,0.9323066622028792,0.14576271186440692,48.016181675566635,1.9428571428571428,True,161.75999999999996,exhaustive,0.07107270000005883,5630,,0.0,0.26213003850311833,linear,0
242.64000000000001,36.6,61.0,183.0,39.0,0.8466439135381115,0.22513661202185786,38.04376744928253,2.772727272727273,True,242.64000000000001,exhaustive_ede,0.06740289999970628,5630,,0.5000000000000004,0.0,linear,0
41.36,45.8,54.0,229.0,19.0,0.9806638616175783,0.0768558951965066,46.01870323789364,1.542857142857143,True,41.36,ours,0.041656500000044616,1435,299.0,0.0,0.07529319193236451,linear,1
69.84,42.4,52.0,212.0,21.0,0.9626044120796744,0.10754716981132084,42.7964238806305,1.6774193548387097,True,69.84,ours_ede,0.03410159999975804,1490,310.0,0.6885880077369441,0.0,linear,1
378.6875,28.75,48.0,115.0,47.0,0.6858017008919312,0.3630434782608696,30.935733809331726,48.0,False,inf,centroid,1.6899999991437653e-05,5,,8.155887330754352,-0.27714208328203044,linear,1
1096.96,50.8,112.0,254.0,97.0,0.7017185120730911,0.34015748031496074,54.85600174847004,7.466666666666667,True,1096.96,weighted_centroid,3.909999986717594e-05,5,,25.52224371373308,0.28178938271750464,linear,1
384.1875,28.25,48.0,113.0,48.0,0.6750370057094524,0.3738938053097345,30.466738364010876,inf,False,inf,geometric_median,4.8800000058690784e-05,5,,8.288866054158607,-0.28810083643928,linear,1
69.84,42.4,52.0,212.0,21.0,0.9626044120796744,0.10754716981132084,42.7964238806305,1.6774193548387097,True,69.84,min_sum,0.06536440000036237,5605,,0.6885880077369441,0.0,linear,1
69.84,42.4,52.0,212.0,21.0,0.9626044120796744,0.10754716981132084,42.7964238806305,1.6774193548387097,True,69.84,min_max,0.06556129999989935,5605,,0.6885880077369441,0.0,linear,1
41.36,45.8,54.0,229.0,19.0,0.9806638616175783,0.0768558951965066,46.01870323789364,1.542857142857143,True,41.36,min_range,0.06582329999991998,5605,,0.0,0.07529319193236451,linear,1
65.35999999999999,46.2,58.0,231.0,23.0,0.9702882080189108,0.09870129870129873,46.54397659481282,1.6571428571428573,True,65.35999999999999,random,0.0132659999999305,500,,0.5802707930367501,0.08756695944117068,linear,1
41.36,45.8,54.0,229.0,19.0,0.9806638616175783,0.0768558951965066,46.01870323789364,1.542857142857143,True,41.36,exhaustive,0.06659450000006473,5605,,0.0,0.07529319193236451,linear,1
69.84,42.4,52.0,212.0,21.0,0.9626044120796744,0.10754716981132084,42.7964238806305,1.6774193548387097,True,69.84,exhaustive_ede,0.06670570000005682,5605,,0.6885880077369441,0.0,linear,1
88.4,41.0,57.0,205.0,26.0,0.9500395614332542,0.12292682926829279,41.522234562183726,1.8387096774193548,True,88.4,ours,0.041631000000052154,1445,301.0,0.0,0.09545827865838206,linear,2
110.56000000000002,37.2,54.0,186.0,27.0,0.926017130620985,0.15053763440860224,37.903985364952824,2.0,True,110.56000000000002,ours_ede,0.034374799999568495,1490,310.0,0.2506787330316743,0.0,linear,2
241.0,25.0,44.0,100.0,38.0,0.7217090069284064,0.3400000000000001,26.726723946606338,7.333333333333333,False,inf,centroid,1.2100000276404899e-05,5,,1.7262443438914026,-0.29488354089228097,linear,2
770.24,41.6,93.0,208.0,72.0,0.692002559181062,0.3288461538461538,45.05344877560896,4.428571428571429,True,770.24,weighted_centroid,2.5100000129896216e-05,5,,7.7131221719457015,0.18862036120525602,linear,2
248.5,22.0,41.0,88.0,41.0,0.6607508532423209,0.3977272727272727,23.824288152040868,inf,False,inf,geometric_median,3.4699999559961725e-05,5,,1.8110859728506785,-0.3714569082208034,linear,2
110.56000000000002,37.2,54.0,186.0,27.0,0.926017130620985,0.15053763440860224,37.903985364952824,2.0,True,110.56000000000002,min_sum,0.06984200000079,5645,,0.2506787330316743,0.0,linear,2
126.8,38.0,51.0,190.0,27.0,0.9192768016297428,0.16210526315789475,38.76030069322363,2.125,True,126.8,min_max,0.058782500000233995,5645,,0.4343891402714931,0.022591696361897028,linear,2
106.0,40.0,53.0,200.0,25.0,0.9378663540445487,0.14000000000000012,40.61679674042024,1.8928571428571428,True,106.0,min_range,0.067488400000002,5645,,0.19909502262443432,0.07157061056634338,linear,2
95.84,39.4,54.0,197.0,26.0,0.9418517170246329,0.13604060913705585,39.97481019237757,1.9285714285714286,True,95.84,random,0.013183000000026368,500,,0.08416289592760177,0.05463343253977434,linear,2
88.4,41.0,57.0,205.0,26.0,0.9500395614332542,0.12292682926829279,41.522234562183726,1.8387096774193548,True,88.4,exhaustive,0.06828810000024532,5645,,0.0,0.09545827865838206,linear,2
110.56000000000002,37.2,54.0,186.0,27.0,0.926017130620985,0.15053763440860224,37.903985364952824,2.0,True,110.56000000000002,exhaustive_ede,0.06984370000009221,5645,,0.2506787330316743,0.0,linear,2
124.4,62.0,73.0,310.0,31.0,0.9686523535933877,0.09419354838709681,62.47314580725775,1.7380952380952381,True,124.4,ours,0.04372719999992114,1430,298.0,0.0,0.387110071002096,linear,3
381.76,43.2,72.0,216.0,56.0,0.8301779359430606,0.25555555555555554,45.038347794652665,4.5,True,381.76,ours_ede,0.030015500000445172,1445,301.0,2.0688102893890674,0.0,linear,3
401.0,28.0,51.0,112.0,50.0,0.6616033755274262,0.3928571428571428,30.319677068890847,51.0,False,inf,centroid,1.2700000297627412e-05,5,,2.2234726688102895,-0.3268030788533798,linear,3
141.0,38.0,57.0,152.0,30.0,0.9110410094637224,0.16447368421052633,38.87209570071977,2.111111111111111,False,inf,weighted_centroid,4.099999932805076e-05,5,,0.13344051446945332,-0.13691115229286913,linear,3
458.0,30.0,54.0,120.0,54.0,0.6627393225331369,0.3916666666666666,32.46111823138511,inf,False,inf,geometric_median,3.480000032141106e-05,5,,2.6816720257234725,-0.2792560157981824,linear,3
381.76,43.2,72.0,216.0,56.0,0.8301779359430606,0.25555555555555554,45.038347794652665,4.5,True,381.76,min_sum,0.06607179999991786,5680,,2.0688102893890674,0.0,linear,3
129.83999999999997,47.6,60.0,238.0,28.0,0.945800634496577,0.12941176470588234,48.235742328715894,1.875,True,129.83999999999997,min_max,0.0637057999992976,5680,,0.04372990353697724,0.07099271377896438,linear,3
129.83999999999997,47.6,60.0,238.0,28.0,0.945800634496577,0.12941176470588234,48.235742328715894,1.875,True,129.83999999999997,min_range,0.06798440000056871,5680,,0.04372990353697724,0.07099271377896438,linear,3
137.84,56.4,68.0,282.0,32.0,0.9584669157526817,0.11205673758865253,56.971274048793695,1.8888888888888888,True,137.84,random,0.012735700000121142,500,,0.1080385852090032,0.26495035538487954,linear,3
124.4,62.0,73.0,310.0,31.0,0.9686523535933877,0.09419354838709681,62.47314580725775,1.7380952380952381,True,124.4,exhaustive,0.06772799999998824,5680,,0.0,0.387110071002096,linear,3
381.76,43.2,72.0,216.0,56.0,0.8301779359430606,0.25555555555555554,45.038347794652665,4.5,True,381.76,exhaustive_ede,0.0687355000000025,5680,,2.0688102893890674,0.0,linear,3
